English Title	Original Title	Year	Duration(min)	Decade	Country	Director	Director's Gender	Writer	Writer's Gender	DP	DP's Gender	Producer	Producer's Gender	Genre	Wikidata ID	IMDb ID
The Best Years of our Lives	The Best Years of Our Lives	1946	172	1940s	USA	William Wyler	male	MacKinlay Kantor/ Robert E. Sherwood	male/ male	Gregg Toland	male	Samuel Goldwyn	male	Drama/ Romance/ War	Q645094	tt0036868
Murderers Among Us	Die Mörder sind unter uns	1946	85	1940s	DEU	Wolfgang Staudte	male	Wolfgang Staudte	male	Friedl Behn-Grund/ Eugen Klagemann	male/ male			Drama/ Romance/ Thriller	Q694812	tt0038769
Fireworks	Fireworks	1947	20	1940s	USA	Kenneth Anger	male	Kenneth Anger	male					Drama/ Horror	Q670589	tt0039383
Blood of the Beasts	Le sang des bêtes	1949	22	1940s	FRA	Georges Franju	male	Georges Franju	male					Documentary	Q3226906	tt0041842
The Red Shoes	The Red Shoes	1948	133	1940s	GBR	Emeric Pressburger/ Michael Powell	male/ male	Emeric Pressburger/ Michael Powell	male/ male	Jack Cardiff	male	Emeric Pressburger/ Michael Powell	male/ male	Drama/ Music/ Romance	Q625780	tt0040725
Germany, Year Zero	Germania anno zero	1948	78	1940s	DEU/ FRA/ ITA	Roberto Rossellini	male	Roberto Rossellini/ Carlo Lizzani/ Sergio Amidei/ Max Colpet	male/ male/ male/ male	Robert Juillard	male	Roberto Rossellini	male	Drama/ War	Q540624	tt0039417
Bicycle Thieves	Ladri di biciclette	1948	90	1940s	ITA	Vittorio De Sica	male	Cesare Zavattini/ Vittorio De Sica/ Suso Cecchi d'Amico/ Oreste Biancoli/ Gerardo Guerrieri/ Gherardo Gherardi/ Adolfo Franci	male/ male/ female/ male/ male/ male/ male	Carlo Montuori	male	Ercole Graziadei	male	Drama	Q172837	tt0040522
La Negra Angustias	La Negra Angustias	1949	82	1940s	MEX	Matilde Landeta	female	Matilde Landeta/ Francisco Rojas González	female/ male					Drama/ War	Q97277759	tt0041686
Sunset Boulevard	Sunset Boulevard	1950	110	1950s	USA	Billy Wilder	male	Charles Brackett/ Billy Wilder/ D. M. Marshman, Jr.	male/ male/ male	John F. Seitz	male	Charles Brackett	male	Drama/ Film-Noir	Q193570	tt0043014
All About Eve	All About Eve	1950	138	1950s	USA	Joseph L. Mankiewicz	male	Joseph L. Mankiewicz/ Erich Kästner	male/ male	Milton Krasner	male	Darryl F. Zanuck	male	Drama	Q200299	tt0042192
